yhyh 一一
yhqh 一七
yhwh 一万
yhzh 一丈
yhsv 一三
yhxb 一下
yhsc 一世
yhsh 一丝
yhlh 一两
yhgr 一个
yhzi 一中
yhck 一串
yhjx 一举
yhlx 一乐
yhjp 一九
yhsz 一书
yhlz 一了
yhse 一事
yhve 一二
yhwh 一五
yhxv 一些
yhmw 一亩
yhlw 一亮
yhrp 一人
yhyr 一亿
yhjr 一介
yhcu 一从
yhfr 一付
yhdr 一代
yhjr 一件
yhrr 一任
yhfr 一份
yhxr 一休
yhzr 一众
yhhr 一伙
yhhu 一会
yhcr 一传
yhsr 一似
yhwr 一位
yhdr 一低
yhtu 一体
yhhr 一何
yhlr 一例
yhcr 一侧
yhqr 一俟
yhbr 一倍
yhpr 一偏
yhyv 一元
yhzp 一兆
yhgx 一光
yhks 一克
yhdv 一党
yhrp 一入
yhbp 一八
yhgb 一共
yhgb 一关
yhbb 一兵
yhjb 一具
yhch 一册
yhzh 一再
yhzd 一准
yhcc 一出
yhjv 一击
yhdz 一刀
yhfu 一分
yhqd 一切
yhld 一列
yhzb 一则
yhgl 一刚
yhlu 一利
yhbi 一别
yhcl 一刬
yhdl 一到
yhsl 一刷
yhcl 一刹
yhkl 一刻
yhjl 一剂
yhjl 一剑
yhfl 一副
yhla 一力
yhjl 一加
yhdl 一动
yhjl 一劫
yhsb 一勺
yhbb 一包
yhpk 一匹
yhqk 一区
yhsh 一十
yhqs 一千
yhsn 一升
yhbd 一半
yhzw 一卒
yhdb 一单
yhkb 一卡
yhjb 一卷
yhch 一厂
yhtc 一厅
yhqt 一去
yhyz 一又
yhsa 一双
yhfy 一反
yhfy 一发
yhsz 一受
yhbw 一变
yhdy 一叠
yhki 一口
yhjb 一句
yhzk 一只
yhjk 一叫
yhts 一台
yhyk 一叶
yhhk 一号
yhhr 一合
yhti 一同
yhmu 一名
yhxk 一向
yhdk 一吨
yhtk 一听
yhxk 一吸
yhck 一吹
yhwk 一吻
yhhk 一吼
yhyk 一员
yhzk 一周
yhwk 一味
yhmr 一命
yhpi 一品
yhxk 一响
yhgk 一哥
yhsw 一商
yhhk 一喊
yhxt 一喜
yhzk 一嘴
yhhi 一回
yhtk 一团
yhyk 一园
yhgi 一国
yhqk 一圈
yhdt 一地
yhct 一场
yhzt 一坐
yhkt 一块
yhtt 一坨
yhct 一城
yhtt 一堂
yhdt 一堆
yhdt 一堵
yhbt 一壁
yhst 一声
yhht 一壶
yhcw 一处
yhxw 一夏
yhxp 一夕
yhdx 一多
yhyw 一夜
yhde 一大
yhte 一天
yhfe 一夫
yhto 一头
yhtd 一套
yhnz 一女
yhra 一如
yhqn 一妻
yhjn 一姐
yhzg 一字
yhjh 一季
yhxx 一学
yhzg 一宗
yhdg 一定
yhsg 一审
yhsg 一室
yhhg 一害
yhjo 一家
yhxg 一宿
yhch 一寸
yhda 一对
yhfc 一封
yhzc 一尊
yhxi 一小
yhsx 一少
yhcs 一尺
yhws 一尾
yhjs 一局
yhcs 一层
yhjs 一居
yhjs 一届
yhps 一屏
yhzs 一展
yhss 一山
yhss 一岁
yhzg 一左
yhjz 一己
yhsw 一市
yhsj 一师
yhtj 一帖
yhlx 一帘
yhdj 一带
yhzj 一帧
yhxg 一席
yhbj 一帮
yhfj 一幅
yhmj 一幕
yhzj 一幢
yhgv 一干
yhph 一平
yhnu 一年
yhbb 一并
yhyl 一幼
yhcg 一床
yhkg 一库
yhyg 一应
yhdg 一店
yhdg 一度
yhzg 一座
yhjl 一建
yhke 一开
yhbn 一弊
yhsg 一式
yhzg 一张
yhtg 一弹
yhyc 一役
yhjc 一径
yhlc 一律
yhdu 一得
yhdc 一德
yhxo 一心
yhnx 一念
yhnx 一怒
yhzl 一怔
yhpo 一怕
yhgl 一怪
yhzx 一总
yhxz 一息
yhjl 一惊
yhxe 一想
yhyo 一意
yhll 一愣
yhce 一成
yhzg 一战
yhjz 一截
yhhd 一户
yhfh 一房
yhsj 一所
yhsh 一扇
yhsu 一手
yhzf 一扎
yhdf 一打
yhrf 一扔
yhsf 一扫
yhpf 一批
yhbe 一把
yhzf 一抓
yhpf 一抔
yhdf 一抖
yhzf 一折
yhbf 一报
yhmf 一抹
yhdf 一担
yhlf 一拉
yhpf 一拍
yhgf 一拐
yhtf 一拖
yhzf 一招
yhbs 一拜
yhbf 一拨
yhqs 一拳
yhpf 一拼
yhzf 一拽
yhgf 一挂
yhzf 一指
yhvf 一按
yhtf 一挑
yhdf 一挡
yhhf 一挥
yhzf 一振
yhkf 一捆
yhnf 一捏
yhnf 一捺
yhdf 一掉
yhzs 一掌
yhpf 一排
yhtf 一探
yhtf 一推
yhzf 一掷
yhtf 一提
yhbf 一搏
yhsf 一搜
yhyf 一摇
yhtf 一摊
yhsf 一摔
yhlf 一摞
yhmf 一摸
yhpf 一撇
yhcf 一撮
yhzf 一撮
yhqf 一擒
yhcf 一擦
yhzs 一支
yhsw 一收
yhgj 一改
yhff 一放
yhsw 一数
yhzn 一整
yhwd 一文
yhbw 一斑
yhdd 一斗
yhjp 一斤
yhxj 一新
yhfo 一方
yhpw 一旁
yhzf 一族
yhwe 一无
yhri 一日
yhdq 一旦
yhzq 一早
yhxb 一旬
yhsq 一时
yhsq 一是
yhhq 一晃
yhwi 一晚
yhqq 一曲
yhgh 一更
yhyp 一月
yhye 一有
yhfv 一服
yhww 一望
yhzv 一朝
yhqq 一期
yhbm 一本
yhdj 一朵
yhgm 一杆
yhcm 一村
yhsh 一束
yhtw 一条
yhle 一来
yhbm 一杯
yhjm 一极
yhmm 一枚
yhzm 一枝
yhqm 一枪
yhjm 一架
yhbm 一柄
yhcm 一查
yhdm 一栋
yhlm 一栏
yhsm 一树
yhjm 一校
yhzm 一株
yhym 一样
yhgm 一根
yhgm 一格
yhvm 一案
yhzb 一桌
yhdm 一档
yhqm 一桥
yhzm 一桩
yhtm 一桶
yhmx 一梦
yhtm 一梯
yhkm 一棵
yhlm 一楼
yhgm 一概
yhmm 一模
yhhm 一横
yhco 一次
yhkq 一款
yhbn 一步
yhsd 一死
yhds 一段
yhbh 一比
yhmp 一毛
yhhw 一毫
yhma 一民
yhqp 一气
yhss 一水
yhjd 一江
yhcd 一池
yhqd 一汽
yhds 一沓
yhhd 一泓
yhfd 一法
yhbd 一波
yhpd 一派
yhld 一流
yhcd 一测
yhld 一浪
yhtd 一淘
yhqd 一清
yhyd 一游
yhld 一溜
yhhd 一滑
yhtd 一滩
yhdd 一滴
yhtd 一潭
yhph 一炮
yhdb 一点
yhrl 一热
yhpz 一爿
yhpu 一片
yhbp 一版
yhwn 一物
yhtn 一特
yhcq 一猜
yhhw 一环
